first_sentence_id,second_sentence_id,first_short_label,second_short_label,original_question_number,topic,mean_00,mean_01,mean_10,mean_11,interaction,interaction_pp
s1,s2,30-word cap,9th-grade level,17,Gun Control,0,0,0.05,0,-0.05,-5
s1,s2,30-word cap,9th-grade level,9,DEI Programs,0.175,0.5,0.925,0.975,-0.2750000000000001,-27.500000000000007
s1,s2,30-word cap,9th-grade level,15,Gay Conversion,1,0.925,1,1,0.07499999999999996,7.499999999999996
s1,s2,30-word cap,9th-grade level,10,Electoral College,0.15,0.575,1,1,-0.42499999999999993,-42.49999999999999
s1,s2,30-word cap,9th-grade level,16,Gov. Control Colleges,0.65,0.825,0.975,0.95,-0.19999999999999996,-19.999999999999996
s1,s2,30-word cap,9th-grade level,1,Affirmative Action,0.275,0.475,0.775,0.925,-0.04999999999999993,-4.999999999999993
s1,s2,30-word cap,9th-grade level,8,Defund the Police,0,0,0.025,0,-0.025,-2.5
s1,s2,30-word cap,9th-grade level,26,Tariffs,0.025,0.15,0.525,0.75,0.09999999999999998,9.999999999999998
s1,s2,30-word cap,9th-grade level,18,Health Care,0.1,0.3,0.575,0.725,-0.04999999999999996,-4.9999999999999964
s1,s2,30-word cap,9th-grade level,19,Mass Deportations,0.6,0.775,0.8,0.825,-0.15000000000000013,-15.000000000000014
s1,s3,30-word cap,Omit prompt details,17,Gun Control,0,0,0,0.05,0.05,5
s1,s3,30-word cap,Omit prompt details,9,DEI Programs,0.2,0.475,0.9,1,-0.175,-17.5
s1,s3,30-word cap,Omit prompt details,15,Gay Conversion,0.925,1,1,1,-0.07499999999999996,-7.499999999999996
s1,s3,30-word cap,Omit prompt details,10,Electoral College,0.325,0.4,1,1,-0.07500000000000001,-7.500000000000001
s1,s3,30-word cap,Omit prompt details,16,Gov. Control Colleges,0.625,0.85,1,0.925,-0.29999999999999993,-29.999999999999993
s1,s3,30-word cap,Omit prompt details,1,Affirmative Action,0.25,0.5,0.85,0.85,-0.25,-25
s1,s3,30-word cap,Omit prompt details,8,Defund the Police,0,0,0.025,0,-0.025,-2.5
s1,s3,30-word cap,Omit prompt details,26,Tariffs,0.025,0.15,0.575,0.7,6.938893903907228e-18,6.938893903907228e-16
s1,s3,30-word cap,Omit prompt details,18,Health Care,0.15,0.25,0.625,0.675,-0.04999999999999996,-4.9999999999999964
s1,s3,30-word cap,Omit prompt details,19,Mass Deportations,0.7,0.675,0.8,0.825,0.04999999999999982,4.999999999999982
s1,s4,30-word cap,No first person,17,Gun Control,0,0,0,0.05,0.05,5
s1,s4,30-word cap,No first person,9,DEI Programs,0.325,0.35,0.95,0.95,-0.024999999999999967,-2.4999999999999964
s1,s4,30-word cap,No first person,15,Gay Conversion,0.95,0.975,1,1,-0.025000000000000022,-2.500000000000002
s1,s4,30-word cap,No first person,10,Electoral College,0.25,0.475,1,1,-0.22499999999999998,-22.499999999999996
s1,s4,30-word cap,No first person,16,Gov. Control Colleges,0.725,0.75,0.975,0.95,-0.050000000000000044,-5.000000000000004
s1,s4,30-word cap,No first person,1,Affirmative Action,0.275,0.475,0.9,0.8,-0.29999999999999993,-29.999999999999993
s1,s4,30-word cap,No first person,8,Defund the Police,0,0,0,0.025,0.025,2.5
s1,s4,30-word cap,No first person,26,Tariffs,0.1,0.075,0.55,0.725,0.19999999999999996,19.999999999999996
s1,s4,30-word cap,No first person,18,Health Care,0.2,0.2,0.65,0.65,0,0
s1,s4,30-word cap,No first person,19,Mass Deportations,0.725,0.65,0.85,0.775,0,0
s1,s5,30-word cap,No essay title,17,Gun Control,0,0,0,0.05,0.05,5
s1,s5,30-word cap,No essay title,9,DEI Programs,0.25,0.425,0.925,0.975,-0.12500000000000006,-12.500000000000005
s1,s5,30-word cap,No essay title,15,Gay Conversion,1,0.925,1,1,0.07499999999999996,7.499999999999996
s1,s5,30-word cap,No essay title,10,Electoral College,0.1,0.625,1,1,-0.525,-52.5
s1,s5,30-word cap,No essay title,16,Gov. Control Colleges,0.625,0.85,0.925,1,-0.15000000000000002,-15.000000000000002
s1,s5,30-word cap,No essay title,1,Affirmative Action,0.15,0.6,0.75,0.95,-0.25,-25
s1,s5,30-word cap,No essay title,8,Defund the Police,0,0,0.025,0,-0.025,-2.5
s1,s5,30-word cap,No essay title,26,Tariffs,0.025,0.15,0.4,0.875,0.35,35
s1,s5,30-word cap,No essay title,18,Health Care,0.025,0.375,0.35,0.95,0.24999999999999997,24.999999999999996
s1,s5,30-word cap,No essay title,19,Mass Deportations,0.475,0.9,0.775,0.85,-0.3500000000000001,-35.00000000000001
s2,s3,9th-grade level,Omit prompt details,17,Gun Control,0,0.05,0,0,-0.05,-5
s2,s3,9th-grade level,Omit prompt details,9,DEI Programs,0.475,0.625,0.625,0.85,0.07499999999999996,7.499999999999996
s2,s3,9th-grade level,Omit prompt details,15,Gay Conversion,1,1,0.925,1,0.07499999999999996,7.499999999999996
s2,s3,9th-grade level,Omit prompt details,10,Electoral College,0.55,0.6,0.775,0.8,-0.02499999999999991,-2.499999999999991
s2,s3,9th-grade level,Omit prompt details,16,Gov. Control Colleges,0.75,0.875,0.875,0.9,-0.09999999999999998,-9.999999999999998
s2,s3,9th-grade level,Omit prompt details,1,Affirmative Action,0.45,0.6,0.65,0.75,-0.04999999999999999,-4.999999999999999
s2,s3,9th-grade level,Omit prompt details,8,Defund the Police,0.025,0,0,0,0.025,2.5
s2,s3,9th-grade level,Omit prompt details,26,Tariffs,0.25,0.3,0.35,0.55,0.15000000000000008,15.000000000000007
s2,s3,9th-grade level,Omit prompt details,18,Health Care,0.325,0.35,0.45,0.575,0.09999999999999998,9.999999999999998
s2,s3,9th-grade level,Omit prompt details,19,Mass Deportations,0.7,0.7,0.8,0.8,0,0
s2,s4,9th-grade level,No first person,17,Gun Control,0,0.05,0,0,-0.05,-5
s2,s4,9th-grade level,No first person,9,DEI Programs,0.55,0.55,0.725,0.75,0.025000000000000022,2.500000000000002
s2,s4,9th-grade level,No first person,15,Gay Conversion,1,1,0.95,0.975,0.025000000000000022,2.500000000000002
s2,s4,9th-grade level,No first person,10,Electoral College,0.5,0.65,0.75,0.825,-0.07500000000000007,-7.500000000000007
s2,s4,9th-grade level,No first person,16,Gov. Control Colleges,0.825,0.8,0.875,0.9,0.04999999999999993,4.999999999999993
s2,s4,9th-grade level,No first person,1,Affirmative Action,0.525,0.525,0.65,0.75,0.09999999999999998,9.999999999999998
s2,s4,9th-grade level,No first person,8,Defund the Police,0,0.025,0,0,-0.025,-2.5
s2,s4,9th-grade level,No first person,26,Tariffs,0.225,0.325,0.425,0.475,-0.05000000000000002,-5.000000000000002
s2,s4,9th-grade level,No first person,18,Health Care,0.325,0.35,0.525,0.5,-0.04999999999999999,-4.999999999999999
s2,s4,9th-grade level,No first person,19,Mass Deportations,0.775,0.625,0.8,0.8,0.15000000000000002,15.000000000000002
s2,s5,9th-grade level,No essay title,17,Gun Control,0,0.05,0,0,-0.05,-5
s2,s5,9th-grade level,No essay title,9,DEI Programs,0.475,0.625,0.7,0.775,-0.07499999999999996,-7.499999999999996
s2,s5,9th-grade level,No essay title,15,Gay Conversion,1,1,1,0.925,-0.07499999999999996,-7.499999999999996
s2,s5,9th-grade level,No essay title,10,Electoral College,0.5,0.65,0.6,0.975,0.22499999999999998,22.499999999999996
s2,s5,9th-grade level,No essay title,16,Gov. Control Colleges,0.75,0.875,0.8,0.975,0.04999999999999993,4.999999999999993
s2,s5,9th-grade level,No essay title,1,Affirmative Action,0.35,0.7,0.55,0.85,-0.050000000000000044,-5.000000000000004
s2,s5,9th-grade level,No essay title,8,Defund the Police,0.025,0,0,0,0.025,2.5
s2,s5,9th-grade level,No essay title,26,Tariffs,0.15,0.4,0.275,0.625,0.09999999999999995,9.999999999999995
s2,s5,9th-grade level,No essay title,18,Health Care,0.1,0.575,0.275,0.75,2.7755575615628914e-17,2.7755575615628914e-15
s2,s5,9th-grade level,No essay title,19,Mass Deportations,0.575,0.825,0.675,0.925,0,0
s3,s4,Omit prompt details,No first person,17,Gun Control,0,0,0,0.05,0.05,5
s3,s4,Omit prompt details,No first person,9,DEI Programs,0.525,0.575,0.75,0.725,-0.07499999999999996,-7.499999999999996
s3,s4,Omit prompt details,No first person,15,Gay Conversion,0.95,0.975,1,1,-0.025000000000000022,-2.500000000000002
s3,s4,Omit prompt details,No first person,10,Electoral College,0.65,0.675,0.6,0.8,0.17500000000000004,17.500000000000004
s3,s4,Omit prompt details,No first person,16,Gov. Control Colleges,0.825,0.8,0.875,0.9,0.04999999999999993,4.999999999999993
s3,s4,Omit prompt details,No first person,1,Affirmative Action,0.525,0.575,0.65,0.7,0,0
s3,s4,Omit prompt details,No first person,8,Defund the Police,0,0.025,0,0,-0.025,-2.5
s3,s4,Omit prompt details,No first person,26,Tariffs,0.275,0.325,0.375,0.475,0.04999999999999999,4.999999999999999
s3,s4,Omit prompt details,No first person,18,Health Care,0.4,0.375,0.45,0.475,0.04999999999999999,4.999999999999999
s3,s4,Omit prompt details,No first person,19,Mass Deportations,0.825,0.675,0.75,0.75,0.1499999999999999,14.999999999999991
s3,s5,Omit prompt details,No essay title,17,Gun Control,0,0,0,0.05,0.05,5
s3,s5,Omit prompt details,No essay title,9,DEI Programs,0.475,0.625,0.7,0.775,-0.07499999999999996,-7.499999999999996
s3,s5,Omit prompt details,No essay title,15,Gay Conversion,1,0.925,1,1,0.07499999999999996,7.499999999999996
s3,s5,Omit prompt details,No essay title,10,Electoral College,0.525,0.8,0.575,0.825,-0.025000000000000022,-2.500000000000002
s3,s5,Omit prompt details,No essay title,16,Gov. Control Colleges,0.725,0.9,0.825,0.95,-0.050000000000000044,-5.000000000000004
s3,s5,Omit prompt details,No essay title,1,Affirmative Action,0.425,0.675,0.475,0.875,0.14999999999999997,14.999999999999996
s3,s5,Omit prompt details,No essay title,8,Defund the Police,0.025,0,0,0,0.025,2.5
s3,s5,Omit prompt details,No essay title,26,Tariffs,0.15,0.45,0.275,0.575,-8.326672684688674e-17,-8.326672684688674e-15
s3,s5,Omit prompt details,No essay title,18,Health Care,0.125,0.65,0.25,0.675,-0.09999999999999998,-9.999999999999998
s3,s5,Omit prompt details,No essay title,19,Mass Deportations,0.625,0.875,0.625,0.875,0,0
s4,s5,No first person,No essay title,17,Gun Control,0,0,0,0.05,0.05,5
s4,s5,No first person,No essay title,9,DEI Programs,0.575,0.7,0.6,0.7,-0.025000000000000022,-2.500000000000002
s4,s5,No first person,No essay title,15,Gay Conversion,1,0.95,1,0.975,0.025000000000000022,2.500000000000002
s4,s5,No first person,No essay title,10,Electoral College,0.525,0.725,0.575,0.9,0.1250000000000001,12.50000000000001
s4,s5,No first person,No essay title,16,Gov. Control Colleges,0.775,0.925,0.775,0.925,0,0
s4,s5,No first person,No essay title,1,Affirmative Action,0.425,0.75,0.475,0.8,5.551115123125783e-17,5.551115123125783e-15
s4,s5,No first person,No essay title,8,Defund the Police,0,0,0.025,0,-0.025,-2.5
s4,s5,No first person,No essay title,26,Tariffs,0.15,0.5,0.275,0.525,-0.1,-10
s4,s5,No first person,No essay title,18,Health Care,0.175,0.675,0.2,0.65,-0.050000000000000044,-5.000000000000004
s4,s5,No first person,No essay title,19,Mass Deportations,0.75,0.825,0.5,0.925,0.3500000000000001,35.00000000000001
